45,0.2,0.8104906201362609,0,0.4,0.4,87.3,0,1.6,1.4,11.9,4.1,50.9,2,2,0
12.5,0,0.2431026041507721,0,0,0,22.5,0,1.6,1.3,12.3,4.3,50.3,0,0,0
17.8,0,0.32612147331237795,0,0,0,31.5,0,1.7,1.9,12.2,4.2,50.9,0,0,0
19.8,0,0.4111214756965637,0,0,0,40.5,0,1.6,1.4,11.9,3.9,50.1,0,0,0
19.8,0,0.4111214756965637,0,0,0,40.5,0,1.2,1.1,11.1,3.7,48.2,0,0,0
19.8,0,0.4111214756965637,0,0,0,40.5,0,1.3,2.2,10.5,3.4,45.4,0,0,0
18.2,0,0.4101690948009491,0,0,0,39.3,0,1.2,0.9,10.1,3.4,43.3,2,2,0
18.5,0,0.4387405216693878,0,0,0,37.9,0,1.1,0.7,10.4,3.2,43.9,0,0,0
18.5,0,0.4387405216693878,0,0,0,37.9,0,1,0.9,10.2,3.2,46,0,0,0
19.5,0,0.4787405222654343,0,0,0,42.4,0,1.1,1.3,9.3,2.9,44.9,0,0,0
19.5,0,0.4787405222654343,0,0,0,42.4,0,0.8,1.9,8.7,2.4,43.6,0,0,0
8,0.6,0.4608771979808807,0.1,0.3,0.1,20.6,0.0625,1.6,1.5,12,4.3,45.8,3,2,0
8,0.5,0.4275438666343689,0,0.3,0.1,20,0,1,1.1,12.2,3.6,48.3,0,0,0
8.3,0.3,0.40295584201812745,0.1,0.4,0.1,23.2,0.09090909361839294,1.1,1.1,13.8,3.9,51.9,0,0,0
7.7,0.3,0.33628917336463926,0.1,0.3,0.1,20.6,0.10000000149011612,1,0.6,14.2,3.8,52.2,0,0,0
4.8,0.3,0.27666667103767395,0.1,0.1,0,10.7,0.0555555559694767,1.8,1.3,10.8,3.9,46.5,0,0,0
40.9,0.8,0.8469207346439361,0.1,1.4,0.8,58.6,0.05882352963089943,1.7,1.4,13.2,4.8,54.4,4,3,0
11.4,0.1,0.38508902192115785,0,0.8,0.5,26.8,0,1.4,1.5,9.2,3.4,51.7,0,0,0
8.3,0.1,0.30766966938972473,0,0.5,0.4,17.8,0,1.2,2.2,9.5,3.5,52.1,0,0,0
53,0.2,0.885603952407837,0,0.2,0.2,83.8,0,1.9,0.8,13.8,4.9,51.8,2,3,0
64.5,0.1,0.8851913690567017,0,0.2,0.1,75,0,2.2,1.4,12.2,5,56.8,2,4,0
62.7,0.5,0.8848043501377105,0,0.3,0.2,90,0,1.6,1.4,14.3,4.9,52.5,2,2,0
70.5,0.2,0.8868524253368377,0,0.3,0.2,90,0,2,0.5,20.6,8,57,0,0,0
59.1,0.2,0.8888654470443725,0,0.1,0.1,83.8,0,1.7,1.3,14.1,5.7,53.6,2,2,0
63.5,0.5,0.8933112919330597,0,0.3,0.2,90,0,1.7,1.3,14.7,4.6,52.1,2,2,0
